,一共游戏场数,4303
1,甜冷美后,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,54,17.71%,544,71.39%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,RB_pyi,61,91.04%
,,Kenoken,49,71.01%
,,버즈따갈피스,47,77.05%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,踩踏		热带踢	攻击强化,210,77.21%,22
,,踩踏		热带踢	速度强化,119,67.61%,19
,,踩踏		青草滑梯	速度强化,83,74.11%,13
,,踩踏		热带踢	万灵药,80,66.67%,11
,,踩踏		青草滑梯	伤药	,21,70.0%,2
,,踩踏		青草滑梯	攻击强化,20,57.14%,5
,,踩踏		热带踢	伤药	,6,100.0%,3
,,三旋击	热带踢	攻击强化,1,100.0%,1
,,三旋击	青草滑梯	伤药	,1,100.0%,1
,,三旋击	青草滑梯	万灵药,1,50.0%,2
,,三旋击	青草滑梯	速度强化,1,50.0%,1
,,踩踏		青草滑梯	万灵药,1,20.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	气势头带	弱点保险,375,72.67%,36
,,亿奥斯饼干	猛攻哑铃	弱点保险,15,93.75%,2
,,猛攻哑铃	力量头带	弱点保险,11,64.71%,2
,,亿奥斯饼干	猛攻哑铃	气势头带,1,50.0%,2
,,能量增幅器	猛攻哑铃	弱点保险,49,71.01%,1
,,气势头带	力量头带	弱点保险,26,76.47%,1
,,猛攻哑铃	气势头带	焦点镜,16,64.0%,1
,,猛攻哑铃	气势头带	力量头带,12,57.14%,1
,,亿奥斯饼干	猛攻哑铃	力量头带,3,37.5%,1
,,救援屏障	猛攻哑铃	气势头带,1,50.0%,1
,,猛攻哑铃	气势头带	锐利之爪,0,0.0%,1
2,幸福蛋,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,51,17.24%,531,71.56%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,さみしい'04,81,69.83%
,,TE・999,67,66.34%
,,jĹ,30,76.92%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,炸蛋		生蛋		速度强化,417,71.4%,41
,,帮助		神秘守护	速度强化,52,71.23%,14
,,炸蛋		生蛋		攻击强化,30,81.08%,2
,,炸蛋		神秘守护	速度强化,17,65.38%,8
,,帮助		生蛋		速度强化,4,80.0%,5
,,炸蛋		生蛋		逃脱按键,4,57.14%,3
,,炸蛋		生蛋		万灵药,3,100.0%,1
,,炸蛋		生蛋		伤药	,3,100.0%,1
,,帮助		生蛋		攻击强化,1,100.0%,1
,,帮助		神秘守护	伤药	,0,0.0%,1
,,帮助		生蛋		逃脱按键,0,0.0%,1
,,炸蛋		生蛋		迟缓烟雾,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	学习装置	气势头带,215,71.19%,15
,,救援屏障	进击眼镜	气势头带,39,60.94%,6
,,能量增幅器	进击眼镜	气势头带,84,68.85%,3
,,讲究眼镜	救援屏障	气势头带,22,81.48%,3
,,能量增幅器	救援屏障	气势头带,4,57.14%,3
,,能量增幅器	进击眼镜	贝壳之铃,16,80.0%,2
,,讲究眼镜	进击眼镜	气势头带,5,62.5%,2
,,讲究眼镜	救援屏障	进击眼镜,30,76.92%,1
,,学习装置	气势头带	贝壳之铃,30,73.17%,1
,,讲究眼镜	学习装置	气势头带,17,89.47%,1
,,能量增幅器	救援屏障	学习装置,14,66.67%,1
,,救援屏障	得分护盾	学习装置,5,83.33%,1
,,救援屏障	进击眼镜	博识眼镜,4,100.0%,1
,,突击背心	救援屏障	气势头带,3,100.0%,1
,,救援屏障	气势头带	博识眼镜,1,100.0%,1
,,能量增幅器	进击眼镜	博识眼镜,1,100.0%,1
,,救援屏障	亿奥斯饼干	气势头带,1,100.0%,1
,,进击眼镜	锐利之爪	焦点镜,1,50.0%,1
,,救援屏障	气势头带	贝壳之铃,1,33.33%,1
,,亿奥斯饼干	进击眼镜	气势头带,1,25.0%,1
,,学习装置	气势头带	焦点镜,0,0.0%,1
3,快龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,53,16.13%,489,70.46%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Oga_,66,68.75%
,,Gomadare,61,74.39%
,,Yabv,51,72.86%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之舞	破坏光线	万灵药,291,68.96%,30
,,龙之舞	破坏光线	逃脱按键,150,74.63%,12
,,龙之舞	破坏光线	攻击强化,46,69.7%,14
,,龙之舞	逆鳞		万灵药,1,100.0%,1
,,神速		逆鳞		攻击强化,1,100.0%,1
,,神速		逆鳞		速度强化,0,0.0%,1
,,龙之舞	逆鳞		攻击强化,0,0.0%,1
,,神速		逆鳞		万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	力量头带	锐利之爪,350,71.28%,35
,,气势头带	力量头带	焦点镜,34,60.71%,8
,,力量头带	锐利之爪	焦点镜,54,67.5%,3
,,力量头带	锐利之爪	弱点保险,17,70.83%,1
,,猛攻哑铃	气势头带	力量头带,11,73.33%,1
,,气势头带	力量头带	弱点保险,6,100.0%,1
,,救援屏障	力量头带	焦点镜,1,50.0%,1
,,气势头带	锐利之爪	弱点保险,0,0.0%,1
4,班基拉斯,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,43,15.29%,462,70.21%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ttvbiguzi__,46,79.31%
,,PotatoUwU,40,68.97%
,,BoraReach,36,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,恶之波动	原始之力	速度强化,325,72.06%,37
,,恶之波动	原始之力	万灵药,69,69.0%,13
,,恶之波动	原始之力	攻击强化,25,80.65%,7
,,恶之波动	原始之力	伤药	,14,53.85%,4
,,恶之波动	流沙地狱	速度强化,8,50.0%,9
,,恶之波动	流沙地狱	万灵药,7,87.5%,2
,,尖石攻击	流沙地狱	速度强化,4,57.14%,4
,,恶之波动	原始之力	逃脱按键,3,50.0%,3
,,尖石攻击	原始之力	攻击强化,2,66.67%,2
,,尖石攻击	原始之力	速度强化,1,100.0%,1
,,恶之波动	流沙地狱	攻击强化,1,50.0%,2
,,尖石攻击	原始之力	万灵药,1,50.0%,1
,,尖石攻击	流沙地狱	逃脱按键,1,50.0%,1
,,尖石攻击	流沙地狱	万灵药,1,50.0%,1
,,尖石攻击	流沙地狱	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	力量头带	弱点保险,78,75.0%,8
,,猛攻哑铃	气势头带	弱点保险,45,65.22%,6
,,力量头带	锐利之爪	焦点镜,90,73.17%,5
,,气势头带	力量头带	焦点镜,36,58.06%,3
,,气势头带	焦点镜	弱点保险,12,80.0%,3
,,气势头带	锐利之爪	弱点保险,38,80.85%,2
,,救援屏障	气势头带	弱点保险,38,71.7%,2
,,亿奥斯饼干	猛攻哑铃	弱点保险,27,69.23%,2
,,猛攻哑铃	焦点镜	弱点保险,15,62.5%,2
,,力量头带	焦点镜	弱点保险,5,62.5%,2
,,气势头带	力量头带	锐利之爪,24,70.59%,1
,,猛攻哑铃	力量头带	焦点镜,18,78.26%,1
,,猛攻哑铃	力量头带	弱点保险,13,59.09%,1
,,亿奥斯饼干	猛攻哑铃	力量头带,12,54.55%,1
,,猛攻哑铃	气势头带	力量头带,8,100.0%,1
,,救援屏障	气势头带	焦点镜,2,66.67%,1
,,亿奥斯饼干	学习装置	气势头带,0,0.0%,1
5,古月鸟,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,46,12.94%,410,73.61%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,SirWaddleChu,67,68.37%
,,RB_Suix,61,91.04%
,,かびきらー闇,46,70.77%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,潜水		空气斩	逃脱按键,395,73.69%,42
,,冲浪		暴风		逃脱按键,6,75.0%,2
,,潜水		空气斩	伤药	,6,66.67%,4
,,冲浪		空气斩	逃脱按键,3,75.0%,4
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	气势头带	博识眼镜,212,75.99%,16
,,能量增幅器	进击眼镜	气势头带,38,66.67%,7
,,讲究眼镜	救援屏障	气势头带,42,71.19%,3
,,讲究眼镜	能量增幅器	气势头带,2,50.0%,3
,,讲究眼镜	气势头带	贝壳之铃,47,71.21%,2
,,讲究眼镜	进击眼镜	气势头带,12,80.0%,2
,,讲究眼镜	救援屏障	博识眼镜,10,76.92%,2
,,讲究眼镜	能量增幅器	贝壳之铃,17,80.95%,1
,,讲究眼镜	亿奥斯饼干	进击眼镜,3,75.0%,1
,,亿奥斯饼干	进击眼镜	气势头带,3,75.0%,1
,,能量增幅器	贝壳之铃	博识眼镜,1,100.0%,1
,,进击眼镜	气势头带	博识眼镜,1,50.0%,1
,,讲究眼镜	能量增幅器	亿奥斯饼干,0,0.0%,1
,,能量增幅器	进击眼镜	博识眼镜,0,0.0%,1
,,能量增幅器	气势头带	贝壳之铃,0,0.0%,1
6,胡帕,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,35,12.74%,401,73.18%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,RustyMoon,77,74.76%
,,Ghost?ㅤ,41,78.85%
,,jĹ,40,71.43%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,潜灵奇袭	异次元洞	速度强化,194,70.04%,20
,,潜灵奇袭	异次元洞	逃脱按键,76,72.38%,5
,,异次元猛攻	幻象光线	速度强化,65,83.33%,13
,,暗影球	异次元洞	速度强化,35,76.09%,7
,,异次元猛攻	幻象光线	逃脱按键,21,87.5%,3
,,潜灵奇袭	异次元洞	攻击强化,6,46.15%,7
,,暗影球	异次元洞	逃脱按键,2,100.0%,2
,,潜灵奇袭	戏法		逃脱按键,1,100.0%,1
,,暗影球	异次元洞	攻击强化,1,100.0%,1
,,潜灵奇袭	戏法		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	气势头带	力量头带,365,74.04%,20
,,讲究眼镜	气势头带	力量头带,2,28.57%,3
,,救援屏障	学习装置	气势头带,6,66.67%,2
,,救援屏障	学习装置	力量头带,13,72.22%,1
,,能量增幅器	学习装置	贝壳之铃,5,83.33%,1
,,气势头带	力量头带	焦点镜,3,60.0%,1
,,救援屏障	气势头带	力量头带,1,100.0%,1
,,讲究眼镜	学习装置	气势头带,1,100.0%,1
,,救援屏障	气势头带	博识眼镜,1,100.0%,1
,,能量增幅器	气势头带	力量头带,1,33.33%,1
,,救援屏障	进击眼镜	力量头带,0,0.0%,1
7,怪力,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,44,11.53%,364,73.39%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Kenoken,43,71.67%
,,茶川やま,34,79.07%
,,Osurac_,31,70.45%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,近身战	爆裂拳	逃脱按键,199,73.98%,28
,,十字劈	爆裂拳	逃脱按键,146,72.64%,23
,,十字劈	爆裂拳	速度强化,13,86.67%,2
,,近身战	爆裂拳	攻击强化,5,71.43%,2
,,近身战	爆裂拳	速度强化,1,50.0%,1
,,十字劈	爆裂拳	攻击强化,0,0.0%,1
,,近身战	地狱翻滚	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	气势头带	力量头带,111,70.7%,12
,,猛攻哑铃	力量头带	焦点镜,60,76.92%,7
,,猛攻哑铃	气势头带	锐利之爪,39,66.1%,7
,,能量增幅器	猛攻哑铃	弱点保险,27,71.05%,2
,,猛攻哑铃	气势头带	焦点镜,23,88.46%,2
,,亿奥斯饼干	猛攻哑铃	弱点保险,1,50.0%,2
,,猛攻哑铃	锐利之爪	焦点镜,1,33.33%,2
,,猛攻哑铃	力量头带	弱点保险,43,71.67%,1
,,亿奥斯饼干	猛攻哑铃	力量头带,8,88.89%,1
,,气势头带	力量头带	锐利之爪,7,100.0%,1
,,猛攻哑铃	气势头带	弱点保险,2,66.67%,1
,,能量增幅器	猛攻哑铃	焦点镜,1,100.0%,1
,,气势头带	力量头带	焦点镜,1,50.0%,1
,,救援屏障	猛攻哑铃	锐利之爪,0,0.0%,1
,,猛攻哑铃	力量头带	锐利之爪,0,0.0%,1
8,甲贺忍蛙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,32,8.39%,251,69.53%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,20FF,111,68.52%
,,Aurimakii,24,72.73%
,,ttvbiguzi__,17,85.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		烟幕		攻击强化,207,69.0%,24
,,冲浪		烟幕		万灵药,26,72.22%,4
,,冲浪		烟幕		逃脱按键,14,82.35%,4
,,飞水手里剑	影子分身	伤药	,2,66.67%,2
,,飞水手里剑	烟幕		攻击强化,1,100.0%,1
,,飞水手里剑	影子分身	攻击强化,1,50.0%,1
,,飞水手里剑	影子分身	逃脱按键,0,0.0%,1
,,飞水手里剑	烟幕		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	力量头带	焦点镜,236,71.08%,20
,,救援屏障	力量头带	焦点镜,3,75.0%,3
,,亿奥斯饼干	猛攻哑铃	力量头带,7,58.33%,2
,,力量头带	锐利之爪	焦点镜,1,33.33%,2
,,亿奥斯饼干	猛攻哑铃	焦点镜,2,40.0%,1
,,猛攻哑铃	气势头带	力量头带,1,100.0%,1
,,亿奥斯饼干	猛攻哑铃	弱点保险,1,50.0%,1
,,气势头带	力量头带	焦点镜,0,0.0%,1
9,冰伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,30,7.88%,239,70.5%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Rimaaafan,48,80.0%
,,Rimaaa,46,60.53%
,,ки・J1h4,27,69.23%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冰锥		冰砾		速度强化,147,69.01%,22
,,冰锥		冰砾		攻击强化,36,90.0%,4
,,冰锥		冰砾		逃脱按键,31,67.39%,4
,,冰冻之风	冷冻干燥	速度强化,13,68.42%,3
,,冰冻之风	冷冻干燥	攻击强化,12,57.14%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	气势头带	博识眼镜,12,85.71%,6
,,讲究眼镜	能量增幅器	博识眼镜,66,75.0%,5
,,能量增幅器	气势头带	力量头带,51,62.96%,2
,,进击眼镜	气势头带	博识眼镜,27,69.23%,1
,,讲究眼镜	能量增幅器	焦点镜,23,69.7%,1
,,讲究眼镜	贝壳之铃	博识眼镜,22,84.62%,1
,,能量增幅器	救援屏障	博识眼镜,14,82.35%,1
,,讲究眼镜	救援屏障	博识眼镜,9,81.82%,1
,,能量增幅器	气势头带	贝壳之铃,4,57.14%,1
,,讲究眼镜	气势头带	力量头带,2,100.0%,1
,,讲究眼镜	能量增幅器	气势头带,1,100.0%,1
,,能量增幅器	气势头带	博识眼镜,1,100.0%,1
,,能量增幅器	力量头带	博识眼镜,1,50.0%,1
,,救援屏障	气势头带	力量头带,1,33.33%,1
,,讲究眼镜	能量增幅器	力量头带,0,0.0%,1
,,能量增幅器	进击眼镜	气势头带,0,0.0%,1
,,讲究眼镜	进击眼镜	博识眼镜,0,0.0%,1
,,气势头带	力量头带	焦点镜,0,0.0%,1
,,讲究眼镜	能量增幅器	进击眼镜,0,0.0%,1
10,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,38,6.51%,191,68.21%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,不思議ノ国ノ,27,67.5%
,,LyNTempo,22,66.67%
,,MW・KyluK十,20,64.52%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,神速		骨棒乱打	万灵药,89,70.08%,23
,,神速		骨棒乱打	速度强化,50,60.98%,10
,,增强拳	近身战	速度强化,20,62.5%,7
,,增强拳	近身战	攻击强化,12,80.0%,7
,,增强拳	近身战	万灵药,4,100.0%,3
,,神速		近身战	速度强化,4,80.0%,4
,,增强拳	近身战	逃脱按键,4,80.0%,2
,,神速		骨棒乱打	攻击强化,4,80.0%,3
,,增强拳	近身战	伤药	,2,100.0%,1
,,增强拳	骨棒乱打	速度强化,1,100.0%,1
,,神速		近身战	万灵药,1,100.0%,1
,,增强拳	近身战	向尾喵的尾巴,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	力量头带	弱点保险,76,64.41%,12
,,猛攻哑铃	锐利之爪	弱点保险,46,67.65%,9
,,猛攻哑铃	力量头带	锐利之爪,18,72.0%,7
,,能量增幅器	猛攻哑铃	气势头带,20,64.52%,1
,,猛攻哑铃	轻石		锐利之爪,15,88.24%,1
,,救援屏障	猛攻哑铃	气势头带,4,100.0%,1
,,猛攻哑铃	气势头带	锐利之爪,2,66.67%,1
,,力量头带	锐利之爪	弱点保险,1,100.0%,1
,,能量增幅器	亿奥斯饼干	猛攻哑铃,0,0.0%,1
,,猛攻哑铃	气势头带	弱点保险,0,0.0%,1
11,闪焰王牌,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,35,4.42%,130,68.42%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Savior,34,69.39%
,,Adrian9D,13,81.25%
,,Emiku,11,73.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰踢	蓄能焰袭	逃脱按键,74,68.52%,18
,,火焰踢	蓄能焰袭	攻击强化,40,70.18%,9
,,火焰踢	蓄能焰袭	万灵药,10,55.56%,8
,,火焰踢	佯攻		攻击强化,2,100.0%,1
